"","species","data type","psi","gs"
"1","CESE",1,0.155,7.36193200952781
"2","CESE",1,0.41,5.00332694738467
"3","CESE",1,0.38,12.9014153568212
"4","CESE",1,0.99,1.72179578842645
"5","CESE",1,0.32,8.44285664134267
"6","CESE",1,0.215,11.2453696500624
"7","CESE",1,0.75,1.15683383636986
"8","CESE",1,0.265,4.60392044854167
"9","CESE",1,0.237,30.5399048477478
"10","CESE",1,0.397,2.15314279370551
"11","CESE",1,0.256,13.8841592882956
"12","CESE",1,0.407,4.19941026266472
"13","CESE",1,0.2,11.4983896082276
"14","CESE",1,0.23,10.0374520308417
"15","CESE",1,0.73,3.30659832527335
"16","CESE",1,0.22,8.34282266360987
"17","CESE",1,0.28,12.7963238143649
"18","CESE",1,1.96,0.77904348189661
"19","CESE",1,0.06,33.7866135581984
"20","CESE",1,0.394,6.47828475106772
"21","CESE",1,0.05,60.1398635174626
"22","CESE",1,0.258,5.03677899853771
"23","CESE",1,1.477,2.36121899311304
"24","CESE",1,0.393,3.90715138349294
"25","CESE",1,1.757,2.22134171983604
"26","CESE",1,0.296,1.11077357756606
"27","CESE",1,1.008,0.438155819742957
