"","species","data type","psi","gs"
"1","DASP",1,0.147,13.0430441647596
"2","DASP",1,0.817,2.43041332039072
"3","DASP",1,1.43,2.25092728244024
"4","DASP",1,0.709,3.53596417544579
"5","DASP",1,0.998,2.23854065436064
"6","DASP",1,1.072,5.57669225860102
"7","DASP",1,0.91,5.58411099349295
"8","DASP",1,1.52,2.38339605314902
"9","DASP",1,0.231,13.9613777785649
"10","DASP",1,1.15,3.84668868295046
"11","DASP",1,0.632,9.88919584440214
"12","DASP",1,0.215,23.243655256655
"13","DASP",1,0.364,5.28993853475273
"14","DASP",1,0.277,8.52056947971346
"15","DASP",1,1.4,3.18618373781418
"16","DASP",1,2.21,1.27629974449125
"17","DASP",1,0.228,8.07650065456131
"18","DASP",1,0.204,8.67966301667179
"19","DASP",1,0.27,14.6346444582072
"20","DASP",1,0.85,3.36658688798315
"21","DASP",1,0.245,11.6123101677645
"22","DASP",1,0.298,10.522408738899
