"","species","data type","psi","gs"
"1","NAVI",1,0.156,52.7489857444094
"2","NAVI",1,2.215,1.62711307465649
"3","NAVI",1,1.977,1.05342636326068
"4","NAVI",1,0.083,87.2501409642393
"5","NAVI",1,1.555,0.676475730019073
"6","NAVI",1,0.446,11.6775522644123
"7","NAVI",1,2.11,1.26037826433515
"8","NAVI",1,1.85,2.33306351425417
"9","NAVI",1,0.11,34.041201333484
"10","NAVI",1,2.8,0.00776529259156689
"11","NAVI",1,1.33,3.59723895201533
"12","NAVI",1,2.32,0.521536136303453
"13","NAVI",1,0.097,50.7032513407753
"14","NAVI",1,1.94,1.978906763421
"15","NAVI",1,2,0.724128269604029
"16","NAVI",1,1.98,1.92083040159789
"17","NAVI",1,2.11,1.25336811661782
"18","NAVI",1,2.11,1.39439081236837
"19","NAVI",1,1.06,6.93259407005984
"20","NAVI",1,0.276,21.1001650479464
"21","NAVI",1,1.775,1.47125590409027
