"","species","data type","psi","gs"
"1","PABI",1,0.707,2.6100789990778
"2","PABI",1,0.654,0.730430079675075
"3","PABI",1,0.29,3.83356477449688
"4","PABI",1,1.99,0.697661722798275
"5","PABI",1,1.032,1.71789338309545
"6","PABI",1,0.553,3.55996125680209
"7","PABI",1,0.776,1.18557403502654
"8","PABI",1,0.361,5.67952752351964
"9","PABI",1,0.06,9.64287321741909
"10","PABI",1,0.7,2.04863192398954
"11","PABI",1,0.065,27.4484836658456
"12","PABI",1,0.692,1.00674721594587
"13","PABI",1,0.126,4.76936227000719
"14","PABI",1,0.145,3.07315875687489
"15","PABI",1,0.435,3.47793264220776
"16","PABI",1,0.633,2.77807231750994
"17","PABI",1,0.378,1.23893065377999
"18","PABI",1,0.232,8.69701904102965
"19","PABI",1,0.084,9.48686229627438
"20","PABI",1,0.2,7.13987008517409
