"","species","data type","psi","gs"
"1","PADI",1,0.924,1.65888208434284
"2","PADI",1,0.069,75.3748335266912
"3","PADI",1,1.075,0.601922863812435
"4","PADI",1,0.098,30.4614012355706
"5","PADI",1,0.959,2.45887853799874
"6","PADI",1,1.09,0.884206499123933
"7","PADI",1,0.278,10.5522988391071
"8","PADI",1,0.76,3.64309512751395
"9","PADI",1,0.925,0.759513439744342
"10","PADI",1,0.211,14.8104550456592
"11","PADI",1,0.884,2.2503816096316
"12","PADI",1,0.688,1.94276776366912
"13","PADI",1,0.063,40.5098852661709
"14","PADI",1,0.067,29.455391836262
"15","PADI",1,0.117,8.92530416036336
"16","PADI",1,1.064,1.03438806310527
"17","PADI",1,0.583,2.45417908154293
"18","PADI",1,1.012,0.565202124610386
"19","PADI",1,1.129,0.722365910424567
"20","PADI",1,0.864,2.86600296849163
"21","PADI",1,0.935,1.27696771349103
"22","PADI",1,1.127,0.779113038605438
"23","PADI",1,0.131,33.287785826572
