"","species","data type","psi","gs"
"1","STDE",1,0.127,27.5319949995639
"2","STDE",1,0.053,49.8461121310383
"3","STDE",1,0.458,3.82230957716178
"4","STDE",1,0.165,17.3674057024778
"5","STDE",1,0.062,65.660634829251
"6","STDE",1,0.068,18.8699929232932
"7","STDE",1,0.084,43.7721344483256
"8","STDE",1,0.03,222.068775404679
"9","STDE",1,0.223,8.40246294444567
"10","STDE",1,0.216,6.30622787611113
"11","STDE",1,0.145,20.6915923736462
"12","STDE",1,0.662,3.24063053720587
"13","STDE",1,0.29,9.52926500175367
"14","STDE",1,0.26,7.96257967728281
"15","STDE",1,0.269,8.43772803609553
"16","STDE",1,1.349,0.78735743169957
"17","STDE",1,0.159,5.29548454387464
"18","STDE",1,0.675,3.1938569589454
"19","STDE",1,1.021,1.23060785116666
"20","STDE",1,0.066,68.6246832127292
"21","STDE",1,0.952,7.46541456439123
