"","species","data type","psi","gs"
"1","ZEMA",1,0.086,6.53281004709283
"2","ZEMA",1,0.278,3.48560712447963
"3","ZEMA",1,0.595,0.052671911504763
"4","ZEMA",1,0.08,22.3685453982291
"5","ZEMA",1,0.87,0.436308166687335
"6","ZEMA",1,0.164,2.86746653761548
"7","ZEMA",1,0.091,21.0635276712008
"8","ZEMA",1,0.047,19.2609631568038
"9","ZEMA",1,0.144,14.4767815201673
"10","ZEMA",1,0.155,7.0369064999874
"11","ZEMA",1,0.556,2.14637258974691
"12","ZEMA",1,0.085,18.1409836459724
"13","ZEMA",1,0.423,2.26138326330511
"14","ZEMA",1,0.575,1.57020751264958
"15","ZEMA",1,0.181,6.72591958785408
"16","ZEMA",1,0.433,2.13689606414324
"17","ZEMA",1,0.664,2.11732538408293
